service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3263,0,0,0,0,0,1,1,20170902,20180801
3262,1,1,1,1,1,0,0,20170828,20180801
3353,1,1,1,1,1,0,0,20170828,20180801
3129,0,0,0,0,0,1,1,20170610,20180801
3270,0,0,0,0,0,1,0,20170902,20180801
3269,0,0,0,0,1,0,0,20170901,20180801
3268,0,0,0,1,0,0,0,20170831,20180801
3273,0,0,0,0,0,1,0,20170902,20180801
3272,0,0,0,0,1,0,0,20170901,20180801
3271,0,0,0,1,0,0,0,20170831,20180801
3274,1,1,1,1,1,0,0,20170828,20180801
3373,1,1,1,1,1,0,0,20170828,20180801
3277,0,0,0,0,0,1,1,20170902,20180801
3276,1,1,1,1,1,0,0,20170828,20180801
3278,1,1,1,1,1,0,0,20170828,20180801
3279,1,1,1,1,1,0,0,20170828,20180801
3291,0,0,0,0,0,1,1,20170902,20180801
3280,1,1,1,1,1,0,0,20170828,20180801
3335,0,0,0,0,0,1,1,20170902,20180801
3334,1,1,1,1,1,0,0,20170828,20180801
3284,1,1,1,1,1,0,0,20170828,20180801
3285,0,0,0,0,0,1,1,20170902,20180801
3286,1,1,1,1,1,0,0,20170828,20180801
3287,0,0,0,0,0,1,1,20170902,20180801
3289,1,1,1,1,1,0,0,20170828,20180801
3248,1,1,1,1,1,0,0,20170821,20180801
3249,0,0,0,0,0,1,1,20170819,20180801
3290,1,1,1,1,1,0,0,20170828,20180801
3293,0,0,0,0,0,1,1,20170902,20180801
3292,1,1,1,1,1,0,0,20170828,20180801
3295,0,0,0,0,0,1,1,20170902,20180801
3294,1,1,1,1,1,0,0,20170828,20180801
3297,0,0,0,0,0,1,1,20170902,20180801
3296,1,1,1,1,1,0,0,20170828,20180801
3298,1,1,1,1,1,0,0,20170828,20180801
3299,0,0,0,0,0,1,1,20170902,20180801
3300,1,1,1,1,1,0,0,20170828,20180801
3301,1,1,1,1,1,0,0,20170828,20180801
3302,0,0,0,0,0,1,1,20170902,20180801
3305,0,0,0,0,0,1,0,20170902,20180801
