stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
14803,,"9-ojo Forto g.",,54.93514,23.87908,http://www.stops.lt/kaunas/index.html#stop/3019,,
15621,,"Didvyriai",,54.95209,23.77661,http://www.stops.lt/kaunas/index.html#stop/868,,
15539,,"Girininkai",,54.76856,23.95766,http://www.stops.lt/kaunas/index.html#stop/852,,
15540,,"Girininkai",,54.76903,23.95881,http://www.stops.lt/kaunas/index.html#stop/853,,
14622,,"Kaniūkai",,54.91948,23.82979,http://www.stops.lt/kaunas/index.html#stop/2003,,
15508,,"Kauno klinikinė ligoninė",,54.91553,23.85886,http://www.stops.lt/kaunas/index.html#stop/50a,,
15340,,"Kautra",,54.87564,23.93705,http://www.stops.lt/kaunas/index.html#stop/3024,,
14458,,"Kėdainių g.",,54.90765,23.87573,http://www.stops.lt/kaunas/index.html#stop/1002,,
15507,,"Keleivių išlaipinimo aikštelė",,54.91611,23.86003,http://www.stops.lt/kaunas/index.html#stop/5001,,
14419,,"Liucijanavos g.",,54.93546,23.83035,http://www.stops.lt/kaunas/index.html#stop/3006,,
14809,,"Neveronys",,54.94024,24.13094,http://www.stops.lt/kaunas/index.html#stop/3020,,
14366,,"Onkologijos ligoninė",,54.86094,23.97424,http://www.stops.lt/kaunas/index.html#stop/3012,,
14418,,"Partizanų g.",,54.92539,24.00055,http://www.stops.lt/kaunas/index.html#stop/3005,,
14619,,"Petrašiūnai",,54.88482,24.00803,http://www.stops.lt/kaunas/index.html#stop/2002,,
15592,,"Plento g.",,54.85570,23.94904,http://www.stops.lt/kaunas/index.html#stop/3026,,
2927,,"Raguoliai",,54.86129,24.05551,http://www.stops.lt/kaunas/index.html#stop/649,,
2928,,"Raguoliai",,54.86098,24.05483,http://www.stops.lt/kaunas/index.html#stop/650,,
15553,,"Respublikinė Kauno ligoninė",,54.87882,23.94589,http://www.stops.lt/kaunas/index.html#stop/4026,,
2914,,"Ringaudai",,54.88470,23.78953,http://www.stops.lt/kaunas/index.html#stop/636,,
2915,,"Ringaudai",,54.88437,23.78894,http://www.stops.lt/kaunas/index.html#stop/637,,
2912,,"Ringaudų pradinė mokykla",,54.88790,23.79909,http://www.stops.lt/kaunas/index.html#stop/634,,
2913,,"Ringaudų pradinė mokykla",,54.88827,23.80046,http://www.stops.lt/kaunas/index.html#stop/635,,
14323,,"Stovėjimo aikštelė",,54.93833,23.89123,http://www.stops.lt/kaunas/index.html#stop/1001,,
2967,,"Tabariškiai",,54.87933,23.78493,http://www.stops.lt/kaunas/index.html#stop/689,,
14421,,"Tirkiliškiai",,54.85794,23.85710,http://www.stops.lt/kaunas/index.html#stop/3008,,
15638,,"Urmo turgaus stovėjimo aikštelė",,54.91697,23.99822,http://www.stops.lt/kaunas/index.html#stop/856n,,
4986,,"Urmo turgus",,54.91660,23.99627,http://www.stops.lt/kaunas/index.html#stop/3015,,
15472,,"Vainatrakio kapinės",,54.78440,23.99877,http://www.stops.lt/kaunas/index.html#stop/850,,
14420,,"Vaišvydava",,54.84347,24.04334,http://www.stops.lt/kaunas/index.html#stop/3007,,
2929,,"Žiegždrių kryžkelė",,54.86964,24.06715,http://www.stops.lt/kaunas/index.html#stop/651,,
2930,,"Žiegždrių kryžkelė",,54.86937,24.06658,http://www.stops.lt/kaunas/index.html#stop/652,,
15103,,"Pėsčiųjų tiltas",,54.93386,23.92988,http://www.stops.lt/kaunas/index.html#stop/812,,
15489,,"Švyturių g.",,54.94960,23.77689,http://www.stops.lt/kaunas/index.html#stop/851,,
15122,,"Aukštutinių Kaniūkų g.",,54.92609,23.80348,http://www.stops.lt/kaunas/index.html#stop/815,,
15123,,"Aukštutinių Kaniūkų g.",,54.92611,23.80332,http://www.stops.lt/kaunas/index.html#stop/816,,
15596,,"Rietavo g.",,54.93127,23.88998,http://www.stops.lt/kaunas/index.html#stop/863,,
15203,,"Biruliškių g.",,54.90738,24.02360,http://www.stops.lt/kaunas/index.html#stop/832,,
2740,,"Partizanų g.",,54.91678,23.95387,http://www.stops.lt/kaunas/index.html#stop/460,,
2741,,"Partizanų g.",,54.91807,23.95221,http://www.stops.lt/kaunas/index.html#stop/702,,
15133,,"Bivylių g.",,54.93528,23.81702,http://www.stops.lt/kaunas/index.html#stop/822,,
15134,,"Bivylių g.",,54.93527,23.81735,http://www.stops.lt/kaunas/index.html#stop/823,,
15164,,"Paltiškių g.",,54.93607,23.82878,http://www.stops.lt/kaunas/index.html#stop/826,,
15165,,"Paltiškių g.",,54.93611,23.82935,http://www.stops.lt/kaunas/index.html#stop/827,,
15033,,"Sakalų g.",,54.94599,23.76940,http://www.stops.lt/kaunas/index.html#stop/804,,
2978,,"Aukščių g.",,54.96591,23.91873,http://www.stops.lt/kaunas/index.html#stop/584,,
2979,,"Aukščių g.",,54.96563,23.91797,http://www.stops.lt/kaunas/index.html#stop/583,,
2982,,"Domeikava",,54.96650,23.93445,http://www.stops.lt/kaunas/index.html#stop/401,,
2980,,"Domeikavos seniūnija",,54.96699,23.92284,http://www.stops.lt/kaunas/index.html#stop/558,,
2981,,"Domeikavos seniūnija",,54.96734,23.92432,http://www.stops.lt/kaunas/index.html#stop/402,,
2976,,"Pakalnės g.",,54.96122,23.90613,http://www.stops.lt/kaunas/index.html#stop/698,,
2977,,"Pakalnės g.",,54.96206,23.90784,http://www.stops.lt/kaunas/index.html#stop/699,,
14681,,"E. Ožeškienės g.",,54.89810,23.90267,http://www.stops.lt/kaunas/index.html#stop/1009,,
15545,,"Skubios pagalbos centras",,54.92092,23.92029,http://www.stops.lt/kaunas/index.html#stop/854,,
2925,,"Girionys",,54.85562,24.04722,http://www.stops.lt/kaunas/index.html#stop/647,,
2926,,"Girionys",,54.85615,24.04772,http://www.stops.lt/kaunas/index.html#stop/648,,
15208,,"Biurų centras",,54.93987,23.88628,http://www.stops.lt/kaunas/index.html#stop/833,,
14371,,"Jiesios pl.",,54.85636,23.94213,http://www.stops.lt/kaunas/index.html#stop/794,,
15473,,"1-ojo Forto g.",,54.87991,23.86892,http://www.stops.lt/kaunas/index.html#stop/849,,
15399,,"Suvalkiečių g.",,54.87450,23.87428,http://www.stops.lt/kaunas/index.html#stop/843,,
15400,,"Suvalkiečių g.",,54.87398,23.87518,http://www.stops.lt/kaunas/index.html#stop/844,,
5110,,"Birštono g.",,54.89448,23.90199,http://www.stops.lt/kaunas/index.html#stop/717,,
2956,,"Kėdainių g.",,54.90773,23.87513,http://www.stops.lt/kaunas/index.html#stop/678,,
2983,,"Neveronys",,54.92580,24.09194,http://www.stops.lt/kaunas/index.html#stop/392,,
2984,,"Neveronys",,54.92687,24.09227,http://www.stops.lt/kaunas/index.html#stop/391,,
2940,,"Pervaža",,54.92278,24.09118,http://www.stops.lt/kaunas/index.html#stop/662,,
2941,,"Pervaža",,54.92262,24.09066,http://www.stops.lt/kaunas/index.html#stop/663,,
2985,,"Keramikų g.",,54.93279,24.09744,http://www.stops.lt/kaunas/index.html#stop/390,,
2986,,"Keramikų g.",,54.93208,24.09644,http://www.stops.lt/kaunas/index.html#stop/389,,
15618,,"Kleboniškio miško parkas",,54.95020,23.93097,http://www.stops.lt/kaunas/index.html#stop/867,,
15129,,"Liucijanavos g.",,54.94749,23.82875,http://www.stops.lt/kaunas/index.html#stop/819,,
15167,,"Šilagirio g.",,54.94248,23.82890,http://www.stops.lt/kaunas/index.html#stop/828,,
15168,,"Šilagirio g.",,54.94166,23.82914,http://www.stops.lt/kaunas/index.html#stop/829,,
15130,,"Vijūkų g.",,54.93791,23.83051,http://www.stops.lt/kaunas/index.html#stop/820,,
15131,,"Vijūkų g.",,54.93777,23.83061,http://www.stops.lt/kaunas/index.html#stop/821,,
14996,,"Kaimelės g.",,54.93951,23.81447,http://www.stops.lt/kaunas/index.html#stop/798,,
14997,,"Kaimelės g.",,54.93963,23.81458,http://www.stops.lt/kaunas/index.html#stop/799,,
14993,,"M. ir P. Šalčių g.",,54.94350,23.80686,http://www.stops.lt/kaunas/index.html#stop/795,,
14994,,"Romainiškių g.",,54.94484,23.81153,http://www.stops.lt/kaunas/index.html#stop/796,,
14995,,"Romainiškių g.",,54.94497,23.81167,http://www.stops.lt/kaunas/index.html#stop/797,,
4378,,"Geležinkelio stotis",,54.88752,23.93370,http://www.stops.lt/kaunas/index.html#stop/237,,
14638,,"Geležinkelio stotis",,54.88729,23.93222,http://www.stops.lt/kaunas/index.html#stop/1006,,
4943,,"2-oji Karmėlava",,54.97402,24.07341,http://www.stops.lt/kaunas/index.html#stop/754,,
14322,,"2-oji Karmėlava",,54.97472,24.07560,http://www.stops.lt/kaunas/index.html#stop/756,,
5203,,"Biruliškės",,54.93907,23.99629,http://www.stops.lt/kaunas/index.html#stop/730,,
5216,,"Biruliškės",,54.93900,23.99569,http://www.stops.lt/kaunas/index.html#stop/735,,
5221,,"Karmėlava",,54.96864,24.06150,http://www.stops.lt/kaunas/index.html#stop/738,,
5225,,"Karmėlava",,54.96951,24.06399,http://www.stops.lt/kaunas/index.html#stop/739,,
5205,,"Margava",,54.95506,24.03176,http://www.stops.lt/kaunas/index.html#stop/732,,
5218,,"Margava",,54.95413,24.02916,http://www.stops.lt/kaunas/index.html#stop/737,,
5204,,"Narėpai",,54.94731,24.01456,http://www.stops.lt/kaunas/index.html#stop/731,,
5217,,"Narėpai",,54.94616,24.01147,http://www.stops.lt/kaunas/index.html#stop/736,,
2910,,"Neveronių g.",,54.92009,24.07656,http://www.stops.lt/kaunas/index.html#stop/632,,
2987,,"Šiltnamiai",,54.93836,24.10546,http://www.stops.lt/kaunas/index.html#stop/388,,
10727,,"Akademijos miestelis",,54.89468,23.82297,http://www.stops.lt/kaunas/index.html#stop/749,,
2911,,"Noreikiškės",,54.89419,23.82853,http://www.stops.lt/kaunas/index.html#stop/633,,
5213,,"Kauno oro uostas",,54.96728,24.07238,http://www.stops.lt/kaunas/index.html#stop/734,,
14426,,"Oro uosto g.",,54.97129,24.06924,http://www.stops.lt/kaunas/index.html#stop/768,,
14773,,"Oro uosto g.",,54.97122,24.06967,http://www.stops.lt/kaunas/index.html#stop/789,,
15082,,"Pervaža",,54.90741,24.04267,http://www.stops.lt/kaunas/index.html#stop/809,,
15083,,"Pervaža",,54.90800,24.04355,http://www.stops.lt/kaunas/index.html#stop/810,,
15332,,"Užupio g.",,54.91177,24.04697,http://www.stops.lt/kaunas/index.html#stop/839,,
15333,,"Užupio g.",,54.91165,24.04705,http://www.stops.lt/kaunas/index.html#stop/840,,
15159,,"Medekšinės g.",,54.92866,23.81118,http://www.stops.lt/kaunas/index.html#stop/824,,
15160,,"Medekšinės g.",,54.92881,23.81095,http://www.stops.lt/kaunas/index.html#stop/825,,
15124,,"Paštuvos g.",,54.92972,23.80681,http://www.stops.lt/kaunas/index.html#stop/817,,
15125,,"Paštuvos g.",,54.92978,23.80694,http://www.stops.lt/kaunas/index.html#stop/818,,
14553,,"Pilėnų g.",,54.89581,23.82439,http://www.stops.lt/kaunas/index.html#stop/779,,
14370,,"Jiesios pl.",,54.85549,23.94333,http://www.stops.lt/kaunas/index.html#stop/793,,
15628,,"Jūros g.",,54.90845,23.86573,http://www.stops.lt/kaunas/index.html#stop/869,,
2995,,"Gimnazija",,54.94110,23.77437,http://www.stops.lt/kaunas/index.html#stop/291,,
2996,,"Gimnazija",,54.94061,23.77399,http://www.stops.lt/kaunas/index.html#stop/269,,
2898,,"Raudondvario medelynas",,54.93398,23.78518,http://www.stops.lt/kaunas/index.html#stop/620,,
2899,,"Raudondvario medelynas",,54.93310,23.78553,http://www.stops.lt/kaunas/index.html#stop/621,,
2993,,"Raudondvaris",,54.93779,23.77870,http://www.stops.lt/kaunas/index.html#stop/330,,
2994,,"Raudondvaris",,54.93718,23.78076,http://www.stops.lt/kaunas/index.html#stop/297,,
2997,,"Saulėtekio g.",,54.94415,23.77181,http://www.stops.lt/kaunas/index.html#stop/268,,
2998,,"Saulėtekio g.",,54.94449,23.77137,http://www.stops.lt/kaunas/index.html#stop/267,,
2999,,"Svarstyklės",,54.94806,23.76236,http://www.stops.lt/kaunas/index.html#stop/266,,
2974,,"Rokų seniūnija",,54.82971,23.94763,http://www.stops.lt/kaunas/index.html#stop/696,,
14998,,"Bivylių g.",,54.93618,23.81607,http://www.stops.lt/kaunas/index.html#stop/800,,
14999,,"Bivylių g.",,54.93612,23.81628,http://www.stops.lt/kaunas/index.html#stop/801,,
15000,,"Chodkevičių g.",,54.93109,23.81884,http://www.stops.lt/kaunas/index.html#stop/802,,
15001,,"Chodkevičių g.",,54.92981,23.82012,http://www.stops.lt/kaunas/index.html#stop/803,,
15307,,"Varžupio g.",,54.89238,23.81231,http://www.stops.lt/kaunas/index.html#stop/835,,
15308,,"Varžupio g.",,54.89298,23.81461,http://www.stops.lt/kaunas/index.html#stop/836,,
15584,,"Seniavos kapinės",,54.85568,23.90741,http://www.stops.lt/kaunas/index.html#stop/861,,
15585,,"Seniavos kapinės",,54.85568,23.90720,http://www.stops.lt/kaunas/index.html#stop/862,,
15471,,"1-ojo forto g.",,54.88059,23.86759,http://www.stops.lt/kaunas/index.html#stop/842,,
2442,,"Kauno šiltadaržiai",,54.88851,23.84870,http://www.stops.lt/kaunas/index.html#stop/122,,
15408,,"Kauno šiltadaržiai",,54.88826,23.84853,http://www.stops.lt/kaunas/index.html#stop/848,,
15309,,"Seniūnija",,54.88765,23.84320,http://www.stops.lt/kaunas/index.html#stop/837,,
15310,,"Seniūnija",,54.88792,23.84200,http://www.stops.lt/kaunas/index.html#stop/838,,
15401,,"Stirnų g.",,54.88817,23.86130,http://www.stops.lt/kaunas/index.html#stop/845,,
15402,,"Stirnų g.",,54.88859,23.86042,http://www.stops.lt/kaunas/index.html#stop/846,,
2931,,"Gyvenvietė",,54.87004,24.07967,http://www.stops.lt/kaunas/index.html#stop/653,,
2932,,"Gyvenvietė",,54.87025,24.07838,http://www.stops.lt/kaunas/index.html#stop/654,,
2988,,"J. Biliūno g.",,54.86452,24.09233,http://www.stops.lt/kaunas/index.html#stop/387,,
2989,,"J. Biliūno g.",,54.86404,24.09309,http://www.stops.lt/kaunas/index.html#stop/384,,
2933,,"Malūnas",,54.86756,24.08619,http://www.stops.lt/kaunas/index.html#stop/655,,
2934,,"Malūnas",,54.86812,24.08539,http://www.stops.lt/kaunas/index.html#stop/656,,
2990,,"Seniūnija",,54.86223,24.09682,http://www.stops.lt/kaunas/index.html#stop/379,,
